name,id
Agogino,G-xTgkgAAAAJ
Cagan,VtINcewAAAAJ
Daly,leVgn_kAAAAJ
Dong,0O2bnZoAAAAJ
Dym,VBCXRSIAAAAJ
Fu,f6Hsv7IAAAAJ
Gero,3jv77YgAAAAJ
Goucher-Lambert,yA7xpsIAAAAJ
Joblokow,i8TIhv8AAAAJ
Holtta-Otto,YgYGk14AAAAJ
Kramer,7Ny8IvYAAAAJ
Lauff,r2rCJnoAAAAJ
Linsey,3ZXznM0AAAAJ
Mattson,B_tQYjEAAAAJ
McAdams,MNqrPucAAAAJ
McComb,0P9w_S0AAAAJ
Miller,lxb0XgIAAAAJ
Menold,yAcbM2cAAAAJ
Mocko,a0IJVCQAAAAJ
Olechowski,P5yUQ-IAAAAJ
Seering,4ZckX2kAAAAJ
Shea,T3ZCB1oAAAAJ
Simpson,PcE0eL0AAAAJ
Stone,qGJAOcIAAAAJ
Summers,PXClXlsAAAAJ
Thurston,xCBh0d8AAAAJ
Toh,xi6FhJEAAAAJ
Wood,6MDhY24AAAAJ
Yang,n2kdLOsAAAAJ
